STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max,
1470,WEST BENGAL,20,34,3.7,7.6,6.77,7.98,177,589,1.1,5.3,BDL,2.1,30000,140000,70000,700000,20,170,
1052,WEST BENGAL,16,33,3.9,8.2,6.78,7.98,231,623,1.05,3.9,0.35,2.45,8000,70000,13000,110000,20,130,
1335,WEST BENGAL,21,32,4.6,8.6,6.13,8.54,566,11980,BDL,3.33,BDL,3.4,450,17000,2200,35000,110,220,
1469,WEST BENGAL,22,32,4.5,7.5,6.82,8.11,275,4210,1.2,4.2,BDL,1.92,790,17000,1300,170000,2,68,
1492,UTTARAKHAND,-,-,10.8,10.8,7.4,7.4,79,79,1,1,BDL,BDL,4,4,4,4,49,49,
1493,UTTARAKHAND,-,-,11.6,11.6,7.9,7.9,145,145,1,1,0.32,0.32,94,94,140,140,33,33,
1494,UTTARAKHAND,16,22,8.6,10.8,7.7,8.4,142,320,BDL,1,BDL,0.33,2,9,2,30,2,2,
30025,INTER-STATE,-,-,8.6,10.3,7.2,7.9,144,266,1,1.1,0.41,0.61,45,330,230,1300,49,49,
1490,UTTARAKHAND,17,24,8.2,10.2,8,8.2,106,162,1,1.2,BDL,0.38,17,34,40,70,2,2,
30027,INTER-STATE,-,-,8.8,10,7.7,8.2,170,452,1,2.2,0.51,1.23,78,170,260,790,14,49,
1553,HIMACHAL PRADESH,13,28,7.1,9.1,6.4,8,214,5866,BDL,1.8,BDL,1.11,9,46,32,140,2,2,
1554,HIMACHAL PRADESH,11,31,7,9,6.6,7.7,248,448,BDL,2,BDL,1.17,11,27,38,94,2,2,
30028,INTER-STATE,-,-,8.9,9.8,7.6,8.1,220,312,1,1.9,BDL,1.04,20,180,130,2200,11,23,
30035,INTER-STATE,-,-,8.3,10.2,7.5,8.1,190,300,1,1,0.61,0.91,78,610,490,92000,13,110,
1117,HARYANA,21,29,7.1,8.5,7.3,8.3,192,620,2.4,6.6,BDL,0.65,200,3200,110,21200,-,-,
1496,HARYANA,19,29,6.8,9.3,7.2,8.3,197,608,2.2,5.2,BDL,26,200,49000,3900,1600000,-,-,
30032,HARYANA,-,-,6.9,9,7.1,8.3,175,392,1.2,6.4,BDL,1.01,26,18000,33,330000,4,920,
10004,HARYANA,24,26,5.6,8.6,6.9,8.4,230,761,1.5,9.1,BDL,1.95,34,110000,240,540000,9.3,28000,
30029,HARYANA,-,-,6.7,8.6,7.2,8.6,212,624,2.8,4.4,BDL,1.23,18,49000,92,79000,23,3400,
1119,HARYANA,14,35,7.1,10.6,6.5,8.6,235,683,1.8,5.5,BDL,0.36,110,220000,330,1600000,-,-,
10005,HARYANA,14,35,5.8,12.5,6.7,8.6,271,682,1.6,5.6,BDL,0.54,170,94000,410,345000,-,-,
30026,INTER-STATE,-,-,7.2,17.1,7.7,8.6,323,665,3.7,7.9,0.5,1.4,110,79000,490,170000,7,2200,
1120,DELHI,15.5,33,5.6,17.1,7.6,9,273,789,1.4,7.9,BDL,1.4,78,79000,330,350000,13,5400,
1121,DELHI,13,31,0.3,2.4,7.1,7.9,460,1641,5.6,57,BDL,2.8,210000,11000000,700000,28000000,13000,920000,
1375,DELHI,15,31,0.3,2.6,7.1,7.9,488,1526,5.6,27,BDL,1.2,78000,3300000,350000,16000000,9200,920000,
1812,DELHI,15,33,0.3,5.6,7.2,7.8,499,1773,7.7,114,BDL,2,68000,7900000,490000,35000000,7900,"5400000
0",
1497,UTTAR PRADESH,13,14,0.1,2.3,6.4,8.1,978,1719,8.7,59,BDL,1.81,680,4900000,3300,9200000,230,920000,
30030,INTER-STATE,-,-,0.2,7.2,7.4,7.6,499,1202,7.7,51,0.7,0.81,68000,140000,490000,1300000,7900,540000,
30031,INTER-STATE,-,-,3.4,4.8,7.5,8.2,1341,1456,5.7,16,0.41,0.55,490,47000,790,54000,20,3500,
30024,INTER-STATE,-,-,0.2,2.3,6.4,8.1,1283,1719,19,59,BDL,1.81,680,3900000,3300,4600000,16000,470000,
2493,UTTAR PRADESH,14,32,4.6,6.9,7.1,7.5,-,-,5.8,10,-,-,31000,85000,53000,110000,-,-,
2495,UTTAR PRADESH,15,32,4,7.6,7.1,7.6,-,-,6,10.4,-,-,24000,65000,46000,88000,-,-,
1123,UTTAR PRADESH,12,13,0.3,4.6,6.5,8.5,1096,1816,7.3,30,0.5,1.66,400,920000,1100,9200000,79,54000,
2494,UTTAR PRADESH,14,32,4.1,7.4,6.9,7.6,-,-,6.8,12,-,-,31000,92000,54000,140000,-,-,
1124,UTTAR PRADESH,12,12,1.6,6.8,6.5,8.3,1195,1903,6.9,21,0.51,1.61,1700,170000,2200,1400000,490,170000,
1125,UTTAR PRADESH,12,12,1.4,9.6,6.5,8.5,1154,1872,4.7,25,0.48,2.4,220,3300000,2200,7900000,23,35000,
