STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max,Latitude,Longitude
3083,"ANDHRA
PRADESH",14,25,5.2,7.2,7.1,7.8,263,514,0.8,1.8,0.6,1.4,1.8,300,200,1600,-,-,16.087917,78.890169
3079,ANDHRA PRADESH,26,27,7.2,7.4,7.6,8.5,354,698,0.8,1.2,0.3,0.4,2,2,210,920,-,-,16.398256,80.721106
1787,"ANDHRA
PRADESH",18,24,7,7.5,7.3,7.9,218,784,0.8,1.4,0.2,1.7,1.8,3,150,800,-,-,16.582608,80.343451
25,"ANDHRA
PRADESH",22,28,7,7.4,7.1,8,286,1041,0.8,1.6,0.36,1.36,1.8,3,210,800,-,-,16.492476,80.640839
1782,ANDHRA PRADESH,25,31,4.9,6,7.1,7.9,21320,38100,1.8,2.6,0.7,1.1,2,4,130,1600,-,,16.000123,81.079082
1311,MAHARASHTRA,22,29,6.2,6.9,7,8.3,95,598,2,2.6,0.2,4.1,5,17,33,170,1.8,2,16.746155,74.445716
2163,MAHARASHTRA,22,28,6,7,7.2,7.9,93,922,1.8,2.4,0.1,2.2,6.8,17,46,150,1.8,1.8,16.721492,74.594819
1904,MAHARASHTRA,20,27,5.7,7,6.5,8.2,71,2367,1.8,2.6,0.1,2.3,2,21,27,176,4,4,16.688467,74.169462
1905,MAHARASHTRA,22,28,5.9,7,6.9,8.1,80,421,1.8,2.6,0.1,2.2,6.8,27,49,220,1.8,6,16.695477,74.274998
1189,MAHARASHTRA,23,29,2.1,6.5,6.6,8.4,81,2814,2.8,38,0.2,5.1,7,1800,900,1800,12,30,18.481871,73.829569
2655,MAHARASHTRA,22,36,1.2,6.5,7.4,8.7,185,940,2.8,15,0.3,8.4,70,550,900,1800,6,10,18.645719,74.056442
1190,MAHARASHTRA,23,29,0.7,6.3,6.9,8.2,80,860,3.8,19,0.2,7.4,110,1600,550,1800,2,35,18.54325,73.885036
1191,MAHARASHTRA,24,29.5,3.8,6.5,7.4,8.8,226,1393,2.5,8,0.3,7,12,550,350,1800,17,17,18.560303,74.37332
1192,MAHARASHTRA,22,30,3.1,6.6,7.3,8.8,137,1568,2.2,7.5,0.3,6,4,550,110,1800,1.8,8,18.464553,74.583576
1188,MAHARASHTRA,25,29,1.6,6.5,7.6,8.4,241,1410,2.8,11,0.2,5.6,25,350,350,1800,4,12,17.985845,75.116249
28,MAHARASHTRA,20,29,2.4,7.2,7.6,8.6,82.2,1151,1.8,8.5,0.2,4,9,200,195,1600,2,7,17.703734,75.544604
1183,KARNATAKA,27,29,6,7.2,7.6,8.5,462,858,2,4,0.1,0.6,300,790,900,2800,-,-,17.179219,76.566603
1184,KARNATAKA,29,30,6.3,7.8,8.4,8.5,405,1000,2,4,0.1,0.5,110,500,540,1600,-,-,17.069328,76.794283
1167,KARNATAKA,24,38,6.2,7.8,8,8.8,570,1324,2.5,4,0.1,0.4,300,700,1600,2800,-,-,16.7341,77.130744
1888,KARNATAKA,28,30,5.8,7.8,8,8.6,410,1006,2.5,4,0.1,0.5,240,700,920,2800,-,-,17.043481,76.814478
2656,MAHARASHTRA,22,29.5,4.6,6.8,7.3,8.6,222,1548,2.4,8,0.3,6,8,1800,350,1800,2,25,18.202061,75.088989
1185,KARNATAKA,18,27,5.5,7.6,7.3,8.9,87,850,0.3,2.9,0.3,10.1,20,900,95,1600,3,110,16.328103,75.268333
1163,KARNATAKA,24,35,3.8,7.7,6.7,8.5,191,582,1.0,2.7,0.3,19.7,170,900,900,1700,6,350,16.174961,74.822508
1187,KARNATAKA,24,32,5.4,8,6.8,8.7,68,320,1.0,2.9,0.2,8.1,26,1800,88,3200,16,280,15.633431,74.510322
1164,KARNATAKA,24,34,6.1,11.9,7.5,8.3,210,1023,0.2,2.8,0.3,8.9,170,1800,900,3200,16,110,15.797983,75.191492
1186,KARNATAKA,19,27,5.2,7.7,7.1,8.7,81,840,0.9,2.4,0.3,15.3,15,1000,65,1800,3,110,16.009319,75.878022
2764,KARNATAKA,20,26,4.7,8.2,7.6,8.5,189,962,0.6,2.4,0.3,14.2,220,1000,1600,1800,16,110,15.875672,75.722272
1029,KARNATAKA,26,29,5.7,7.5,7.15,8.01,145,470,2.0,3.0,0.2,1.11,500,1100,1400,1700,-,-,14.325397,75.771092
29,KARNATAKA,24,28,6.9,7.6,7.8,8.8,240,960,2.0,4.0,0.3,0.23,38,460,96,1700,-,-,15.494844,76.692417
2767,KARNATAKA,25,27,6.7,7.6,7.2,8,98,420,2.0,3.0,0.1,1.0,500,1400,900,2800,-,-,14.514278,75.785697
2768,KARNATAKA,26,28,5.3,6.5,7,7.9,240,940,3.0,6.2,0.1,1.1,500,1300,1600,2400,-,-,14.514278,75.785697
2769,KARNATAKA,26,28,5.8,6.8,7.1,8,80,410,2.0,3.0,0.1,1.3,500,1400,900,2400,-,-,14.5265,75.796072
2770,KARNATAKA,25,27,6.2,7.3,6.7,7.9,126,625,2.2,5.6,0.3,1.0,900,22000,2200,50000,-,-,14.515836,75.797939
2776,KARNATAKA,24,34,6.9,7.4,8,8.7,210,541,2.0,3.0,0.3,0.3,60,350,168,1600,-,-,15.41225,76.58625
2766,KARNATAKA,25,27,6.5,7.5,7.2,8,130,420,2.1,2.8,0.1,0.7,500,1100,900,2200,-,-,14.514278,75.785697
1174,"ANDHRA
PRADESH",18,26,5.4,7.1,6.8,8.1,226,1598,1.0,2.8,0.6,1.9,1.8,100,500,800,-,-,15.8483,78.034942
1785,"ANDHRA
PRADESH",17,26,5.2,7,6.2,7.9,261,1403,0.8,2.8,0.3,2.3,100,200,300,1000,-,-,15.944453,77.419709
1168,KARNATAKA,22,32,6.2,7.2,6.9,8.1,148,250,3.0,4.2,0.3,0.9,1100,90000,2800,160000,-,-,13.926464,75.583336
1896,KARNATAKA,23,30,6.2,7.8,6.8,8,138,224,2.0,2.8,0.3,0.6,500,1300,1000,2800,-,-,14.011333,75.676667
1091,KARNATAKA,17,23,5.3,6.9,6.7,7.5,67,120,1.0,2.0,0.1,0.1,14,70,240,540,-,-,13.003125,77.565306
1387,KARNATAKA,23,30,6.4,7.2,7.1,8.1,150,300,3.0,4.2,0.2,0.9,5000,50000,9000,90000,-,-,13.832272,75.713164
1169,KARNATAKA,23,31,6.6,7.8,7,8.1,140,240,2.5,3.0,0.2,0.8,1400,14000,2200,22000,-,-,13.989311,75.683736
2765,KARNATAKA,23,31,6.2,7.8,7.2,7.9,130,275,2.0,2.8,0.2,0.8,500,900,900,1700,-,-,13.812647,75.716319
2771,KARNATAKA,16,22,5.6,7,6.6,7.3,60,110,1.0,2.0,0.1,0.1,11,45,220,350,-,-,13.212753,75.234217
1172,TELANGANA,25,27,5.1,6.2,6.7,8.2,356,540,2.0,3.0,0.2,8.0,1.8,33,280,280,-,-,17.370422,78.472561
