STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,Latitude,Longitude
1837.0,BIHAR,15.0,15.0,,,7.2,7.2,370.0,370.0,,,0.11,0.11,11.0,11.0,11.0,11.0,25.419953,86.129981
1838.0,BIHAR,21.0,21.0,,,7.4,7.4,1480.0,1480.0,,,0.40,0.40,920.0,920.0,1600.0,1600.0,25.380978,86.465003
1839.0,BIHAR,18.0,18.0,,,7.3,7.3,1810.0,1810.0,,,6.93,6.93,,,,,25.372324,86.471752
1840.0,BIHAR,16.0,16.0,,,7.4,7.4,740.0,740.0,,,0.08,0.08,13.0,13.0,33.0,33.0,26.649806,84.916775
2594.0,BIHAR,30.0,30.0,,,7.1,7.1,314.0,314.0,,,0.03,0.03,,,,,25.870544,86.601375
2595.0,BIHAR,32.0,32.0,,,7.9,7.9,1240.0,1240.0,,,0.23,0.23,,,,,25.862969,85.781044
2596.0,BIHAR,27.0,27.0,,,8.0,8.0,361.0,361.0,,,0.02,0.02,,,,,26.588721,85.501282
2598.0,BIHAR,25.0,25.0,,,7.6,7.6,1560.0,1560.0,,,0.27,0.27,79.0,79.0,1600.0,1600.0,24.628777,83.920541
2599.0,BIHAR,25.0,25.0,,,7.6,7.6,1540.0,1540.0,,,0.08,0.08,140.0,140.0,1600.0,1600.0,24.625089,83.918998
2600.0,BIHAR,26.0,26.0,,,7.2,7.2,1060.0,1060.0,,,1.77,1.77,1600.0,1600.0,1600.0,1600.0,25.683822,85.354964
3140.0,BIHAR,25.0,25.0,,,8.0,8.0,442.0,442.0,,,,,1600.0,1600.0,1600.0,1600.0,26.801253,84.503617
3142.0,BIHAR,24.0,24.0,,,7.9,7.9,696.0,696.0,,,0.27,0.27,,,,,25.198364,84.252158
3143.0,BIHAR,27.0,27.0,,,7.6,7.6,584.0,584.0,,,0.01,0.01,,,,,27.127814,84.067542
3144.0,BIHAR,22.0,22.0,,,7.2,7.2,1090.0,1090.0,,,0.49,0.49,350.0,350.0,1600.0,1600.0,25.471956,85.707546
3147.0,BIHAR,21.0,21.0,,,7.5,7.5,596.0,596.0,,,0.23,0.23,280.0,280.0,1600.0,1600.0,26.592486,86.137611
3148.0,BIHAR,16.0,16.0,,,7.3,7.3,1120.0,1120.0,,,0.50,0.50,540.0,540.0,1600.0,1600.0,25.309172,86.489908
3149.0,BIHAR,25.0,25.0,,,7.6,7.6,1090.0,1090.0,,,0.98,0.98,,,,,25.011592,83.660808
3150.0,BIHAR,21.0,21.0,,,7.5,7.5,1120.0,1120.0,,,0.29,0.29,,,,,25.644867,84.873763
3151.0,BIHAR,24.0,24.0,,,7.4,7.4,1940.0,1940.0,,,0.44,0.44,1600.0,1600.0,1600.0,1600.0,25.168678,83.618608
3152.0,BIHAR,27.0,27.0,,,7.8,7.8,303.0,303.0,,,0.01,0.01,26.0,26.0,33.0,33.0,27.107417,84.467131
3153.0,BIHAR,23.0,23.0,,,8.0,8.0,519.0,519.0,,,0.55,0.55,,,,,25.328697,84.410572
3155.0,BIHAR,24.0,24.0,,,7.5,7.5,509.0,509.0,,,0.00,0.00,,,,,26.114017,86.601053
3156.0,BIHAR,32.0,32.0,,,7.9,7.9,1690.0,1690.0,,,,,,,,,25.862744,85.777669
3157.0,BIHAR,16.0,16.0,,,7.1,7.1,1480.0,1480.0,,,0.22,0.22,220.0,220.0,920.0,920.0,25.238589,86.741767
3159.0,BIHAR,24.0,24.0,,,7.3,7.3,2150.0,2150.0,,,0.24,0.24,39.0,39.0,1600.0,1600.0,25.586566,84.449575
3160.0,BIHAR,25.0,25.0,,,8.0,8.0,362.0,362.0,,,0.06,0.06,,,,,26.981397,84.853981
3162.0,BIHAR,26.0,26.0,,,7.4,7.4,861.0,861.0,,,0.06,0.06,,,,,26.004064,85.08065
2039.0,CHANDIGARH,22.0,24.0,,,7.4,7.4,759.0,1403.0,0.9,2.2,3.30,4.30,,,,,30.751489,76.772606
2040.0,CHANDIGARH,21.5,24.5,,,7.2,7.3,639.0,666.0,1.8,2.1,1.90,3.50,,,,,30.73405,76.773239
2041.0,CHANDIGARH,22.0,25.0,BDL,BDL,7.2,7.2,913.0,1009.0,BDL,1.1,4.30,8.90,2.0,2.0,2.0,2.0,30.719562,76.76397
2042.0,CHANDIGARH,22.0,24.5,BDL,BDL,7.1,7.2,732.0,751.0,BDL,2.0,3.50,4.30,2.0,2.0,2.0,2.0,30.694747,76.769719
2043.0,CHANDIGARH,22.0,24.0,BDL,BDL,7.4,7.4,1156.0,1187.0,1.4,1.8,1.00,1.00,2.0,2.0,2.0,2.0,30.731825,76.725717
2044.0,CHANDIGARH,22.0,24.0,BDL,BDL,7.2,7.4,635.0,788.0,BDL,0.9,2.30,3.90,2.0,2.0,2.0,2.0,30.776019,76.74926
2045.0,CHANDIGARH,21.5,24.0,BDL,BDL,7.3,7.4,842.0,865.0,1.3,1.6,0.50,4.20,2.0,2.0,2.0,2.0,30.75385,76.740867
1621.0,CHHATTISGARH,23.0,25.0,2.2,2.3,7.7,7.8,256.0,378.0,,,,,,,,,21.251394,81.629733
1622.0,CHHATTISGARH,29.0,34.0,0.1,0.2,7.5,7.6,364.0,448.0,0.0,0.0,0.15,0.30,,,2.0,2.0,22.079625,82.139142
1623.0,CHHATTISGARH,30.0,30.0,0.2,0.2,7.7,7.7,481.0,481.0,0.1,0.1,0.15,0.15,,,,,22.079625,82.139142
3171.0,CHHATTISGARH,22.0,28.0,6.2,7.4,7.4,7.5,,,0.8,0.9,,,2.0,3.0,2.0,8.0,21.201958,81.340825
3172.0,CHHATTISGARH,25.9,26.0,,,7.1,7.1,,,,,,,20.0,20.0,20.0,20.0,22.424406,82.73913
3173.0,CHHATTISGARH,25.9,26.2,,,7.1,7.1,,,,,,,20.0,20.0,20.0,20.0,22.393874,82.678762
3174.0,CHHATTISGARH,26.1,26.3,,,7.1,7.2,,,,,,,20.0,20.0,20.0,20.0,22.385857,82.683508
3477.0,DELHI,,,,,7.1,7.1,3390.0,3810.0,,,2.40,71.90,2.0,210.0,4.0,2400.0,28.797075,77.133117
3479.0,DELHI,,,,,6.9,7.0,1384.0,3060.0,,,23.22,362.01,18.0,26000.0,220.0,47000.0,28.556339,77.206494
3480.0,DELHI,,,,,7.1,7.1,1001.0,1040.0,,,11.30,11.30,2.0,2.0,2.0,2.0,28.805331,77.046247
3483.0,DELHI,,,,,6.9,7.2,1580.0,1820.0,,,4.81,4.90,2.0,230.0,2.0,2400.0,28.755,77.199
3485.0,DELHI,,,,,7.1,7.1,1410.0,2100.0,,,76.50,338.60,2.0,49.0,2.0,2.0,28.572486,77.232919
3488.0,DELHI,,,,,7.0,7.0,1750.0,2158.0,,,0.13,52.75,2.0,2.0,2.0,2.0,28.684654,77.314976
3489.0,DELHI,,,,,6.9,7.4,1440.0,2681.0,,,0.04,36.70,2.0,2.0,2.0,2.0,28.573669,77.055899
3490.0,DELHI,,,,,6.9,7.0,748.0,871.0,,,41.00,70.90,2.0,33.0,2.0,49.0,28.457589,77.178719
3492.0,DELHI,,,,,6.8,7.0,1980.0,2501.0,,,0.00,2.70,2.0,5.0,2.0,11.0,28.629953,77.320258
3493.0,DELHI,,,,,6.9,7.1,912.0,1649.0,,,0.04,29.13,2.0,2.0,2.0,2.0,28.666309,77.273879
