STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max,Latitude,Longitude
4362,MARINE,ANDHRA PRADESH,25.0,28.0,3.1,6.9,6.9,7.8,796.0,48600.0,2.2,4.8,0.5,3.6,3.0,14.0,64.0,460.0,,,16.970619,82.280728
4363,MARINE,ANDHRA PRADESH,25.0,27.0,3.5,7.0,6.9,7.9,1037.0,50800.0,2.2,5.4,0.7,5.1,3.0,15.0,43.0,240.0,,,16.957749,82.269867
4371,MARINE,ANDHRA PRADESH,22.0,34.0,5.3,7.7,7.3,8.0,8600.0,51400.0,1.5,2.8,0.3,1.6,4.0,11.0,75.0,240.0,,,16.319709,81.70582
4383,MARINE,ANDHRA PRADESH,22.0,26.0,5.9,6.7,7.4,8.1,41000.0,53400.0,2.5,2.9,0.9,1.3,3.0,11.0,23.0,250.0,2.0,3.0,15.877884,80.652347
4387,MARINE,ANDHRA PRADESH,18.0,21.0,5.8,6.8,7.5,8.1,29600.0,52100.0,2.4,2.9,0.9,1.2,4.0,14.0,39.0,240.0,2.0,3.0,14.252922,80.110153
5673,SEA,ANDHRA PRADESH,26.0,32.0,4.3,7.6,6.4,8.2,34400.0,52600.0,1.1,2.7,0.3,0.9,3.0,7.0,43.0,120.0,,,,
5674,SEA,ANDHRA PRADESH,26.0,32.0,5.0,6.8,7.0,8.1,10860.0,52900.0,1.2,2.9,0.5,8.5,3.0,7.0,39.0,93.0,,,,
5675,SEA,ANDHRA PRADESH,25.0,29.0,5.4,6.5,7.4,8.0,38700.0,52400.0,1.4,2.8,0.3,1.2,3.0,7.0,64.0,120.0,,,,
5676,SEA,ANDHRA PRADESH,23.0,30.0,5.4,6.2,7.2,7.9,38800.0,52500.0,1.3,2.8,0.4,1.5,3.0,7.0,43.0,150.0,,,,
5677,SEA,ANDHRA PRADESH,27.0,32.0,5.4,6.2,7.4,8.1,40400.0,53000.0,1.3,2.9,0.3,1.4,3.0,4.0,64.0,75.0,,,,
5681,SEA,ANDHRA PRADESH,24.0,28.0,6.0,7.6,6.7,7.8,39500.0,52300.0,1.8,2.4,0.3,0.8,3.0,4.0,43.0,93.0,,,,
5682,SEA,ANDHRA PRADESH,25.0,27.0,6.0,7.4,7.2,7.7,25500.0,51700.0,1.8,2.2,0.6,1.4,4.0,11.0,75.0,460.0,,,,
5683,SEA,ANDHRA PRADESH,25.0,26.0,6.2,7.4,7.4,7.8,334.0,48700.0,1.8,2.4,0.6,4.7,4.0,9.0,64.0,150.0,2.0,2.0,,
5684,SEA,ANDHRA PRADESH,26.0,28.0,6.4,7.3,7.2,8.1,1492.0,41600.0,1.8,2.4,1.0,2.4,3.0,9.0,75.0,150.0,,,,
5685,SEA,ANDHRA PRADESH,25.0,28.0,6.3,7.4,7.5,8.1,23100.0,51700.0,1.8,2.2,0.4,2.5,2.0,4.0,43.0,75.0,,,,
5651,BEACH,GOA,28.0,31.0,4.3,6.8,7.8,8.5,48590.0,60770.0,1.0,2.6,0.3,0.8,23.0,220.0,49.0,280.0,6.0,170.0,,
5644,BEACH,GOA,28.0,30.0,5.2,6.7,7.8,8.4,36860.0,62290.0,1.0,1.8,0.3,0.4,23.0,350.0,33.0,920.0,14.0,280.0,,
5645,BEACH,GOA,27.0,30.0,5.9,6.7,7.0,8.3,35800.0,59760.0,1.0,1.8,0.3,0.3,13.0,350.0,110.0,540.0,8.0,140.0,,
5646,BEACH,GOA,27.0,30.0,6.4,7.1,7.4,8.5,26390.0,49580.0,1.0,2.7,0.3,0.8,13.0,790.0,23.0,1400.0,12.0,280.0,,
5649,BEACH,GOA,27.0,31.0,5.8,6.6,7.8,8.6,45650.0,57390.0,1.2,1.8,0.3,0.3,7.0,540.0,49.0,920.0,2.0,280.0,,
5647,BEACH,GOA,28.0,31.0,6.2,7.5,7.0,8.3,42070.0,54490.0,1.0,1.8,0.3,1.4,33.0,350.0,49.0,540.0,22.0,220.0,,
4013,BEACH,GOA,27.0,30.0,5.6,6.8,7.0,8.2,29870.0,61750.0,1.0,2.1,0.3,0.3,33.0,350.0,46.0,920.0,14.0,130.0,15.720857,73.68186
4014,BEACH,GOA,26.0,30.0,5.6,9.3,7.0,8.3,26120.0,53340.0,1.0,2.0,0.3,2.0,79.0,280.0,110.0,920.0,14.0,140.0,15.482664,73.807302
4015,BEACH,GOA,26.0,32.0,5.2,8.3,7.0,8.3,30200.0,59470.0,1.0,1.9,0.3,0.7,45.0,350.0,49.0,540.0,5.0,170.0,15.531787,73.75851
4016,BEACH,GOA,27.0,31.0,5.5,6.9,7.8,8.3,27870.0,62680.0,1.0,1.9,0.3,0.3,5.0,700.0,23.0,1200.0,4.0,220.0,15.629169,73.725747
4017,BEACH,GOA,28.0,32.0,5.0,7.4,7.7,8.4,30490.0,52030.0,1.0,2.0,0.3,0.6,13.0,240.0,23.0,350.0,11.0,140.0,15.156355,73.944955
4018,BEACH,GOA,28.0,31.0,6.0,7.8,7.0,8.3,29460.0,63790.0,1.1,2.4,0.3,1.8,110.0,350.0,220.0,920.0,79.0,240.0,15.39155,73.806607
4019,BEACH,GOA,28.0,31.0,5.8,7.3,7.7,8.4,30070.0,60850.0,1.0,2.9,0.3,0.7,11.0,280.0,23.0,540.0,6.0,130.0,14.969011,74.045068
4020,BEACH,GOA,26.0,32.0,5.1,6.9,7.0,8.3,30010.0,59170.0,1.0,1.9,0.3,0.4,33.0,460.0,33.0,1400.0,17.0,280.0,15.277315,73.912572
4021,BEACH,GOA,26.0,32.0,5.8,7.9,7.0,8.3,30330.0,58380.0,1.0,1.8,0.3,0.6,44.0,1300.0,79.0,2200.0,8.0,240.0,15.603125,73.733511
