STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max
2267,CREEK,GOA,27,30,4.3,9.5,6.2,8.6,659,23860,1,2.1,0.35,29.92,1100,2700,2100,3400,130,700
3196,CREEK,GUJARAT,29,35,0.3,2.6,6.9,7.6,1110,6087,5,118,0.31,0.92,70,1600,220,1600,-,-
2080,CREEK,GUJARAT,25,31,5.3,6.8,7.7,8.7,698,5951,1.5,2.8,0.3,0.42,63,920,170,1600,14,110
2081,CREEK,GUJARAT,29,35,0.3,6,7.3,7.7,964,4478,1.6,15,0.3,6.72,70,1600,210,1600,-,-
5173,BEACH,KERALA,-,-,4.2,7.6,7.2,8,-,-,1.2,6.2,-,-,480,810,570,570,-,-
5174,BEACH,KERALA,-,-,4.2,8,6.3,8,-,-,1,3.9,-,-,200,810,800,800,-,-
5178,CREEK,KERALA,-,-,5.2,7.7,7.1,8.8,-,-,1,6.2,-,-,310,810,520,520,-,-
5181,BEACH,KERALA,-,-,2.4,6.2,6.4,8,5,5,1.3,7,-,-,2100,5600,1800,1800,-,-
5194,CREEK,KERALA,-,-,3,7,6.3,10,,,,,-,-,310,1400,1200,1200,-,-
1316,CREEK,MAHARASHTRA,16,34,2.9,6.8,7.4,7.9,5076,52180,3,15,0.3,15.75,31,140,210,430,-,-
1317,CREEK,MAHARASHTRA,25,26,2.7,6,6.8,7.7,32030,57600,7,16,0.57,7.31,31,170,170,540,-,-
1318,CREEK,MAHARASHTRA,25,26,3.4,5.4,7.1,7.8,14880,55250,10,14,0.6,10.04,79,540,220,920,-,-
2165,SEA,MAHARASHTRA,25,26,2.6,5.8,7,7.8,24550,57550,8,14,0.62,10.18,94,1600,540,1600,-,-
2166,SEA,MAHARASHTRA,25,26,2.3,5.5,7.1,8,27400,57760,8,14,0.61,12.2,220,1600,540,1600,-,-
2167,SEA,MAHARASHTRA,25,26,3.1,5.8,7,8.1,26430,57700,8,13,0.56,10.6,140,540,540,1600,-,-
2169,SEA,MAHARASHTRA,25,26,3.2,5,6.8,8.2,44620,55360,9,14,0.46,5.72,63,540,240,920,-,-
2184,CREEK,MAHARASHTRA,26,32,3.4,5.8,7,7.8,2133,47940,5,12.5,0.43,13.74,31,70,170,350,-,-
2185,CREEK,MAHARASHTRA,25,30,3.2,6.6,6.8,7.8,6621,52090,6,13,0.3,1.64,33,140,210,350,-,-
2791,CREEK,MAHARASHTRA,27,29,0.8,6.4,6.8,7.8,187,16930,5,36,0.57,14.2,33,170,130,350,-,-
2792,CREEK,MAHARASHTRA,26,34,0.3,6.4,7.2,7.7,232,29020,5,52,0.3,21.9,33,170,210,350,-,-
2793,CREEK,MAHARASHTRA,26,34,0.7,6.3,7,7.8,230,33840,5,48,0.3,23.05,41,170,220,430,-,-
2794,CREEK,MAHARASHTRA,26,34,2.8,6.5,7.1,7.7,465,33930,6,44,0.47,22.35,33,170,220,350,-,-
2795,CREEK,MAHARASHTRA,25,32,2.9,6.4,7.3,7.6,471,39840,6,26,0.3,21.75,27,120,170,280,-,-
2796,CREEK,MAHARASHTRA,20,34,3.7,6.6,7.2,7.7,255,43530,3,14,0.3,21.75,49,170,220,540,-,-
2797,CREEK,MAHARASHTRA,20,34,2.5,6,7.2,7.9,683,51070,8,18,0.3,4.17,22,540,220,1600,-,-
2798,CREEK,MAHARASHTRA,26,27,3.7,5.6,6.5,8.1,21760,60370,8,15,0.3,37.85,33,350,220,540,-,-
