STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max
4015,BEACH,GOA,28,29,6.2,8,7.2,8.1,11230,50610,0.5,2.9,BDL,0.508,33,350,79,540
4016,BEACH,GOA,27,29,5.6,7.5,6.58,8.19,11180,52870,0.6,2.9,BDL,0.985,79,170,130,350
4017,BEACH,GOA,27,30,5.9,7.1,7.07,8.3,42750,58270,0.3,4.7,0.03,3.058,49,350,94,920
4018,BEACH,GOA,26.9,30,5.3,8,7.1,8.1,27.25,58720,0.1,7.2,0.025,22.118,7.8,1700,23,5400
4019,BEACH,GOA,28,32,6.1,7.9,6.7,7.9,99.86,58360,0.6,3.3,BDL,2.163,17,540,49,920
4020,BEACH,GOA,28,30,5,7.6,6.53,8.3,23480,58950,1.2,4.1,0.062,1.853,23,3500,33,9200
4021,BEACH,GOA,28,30,5.8,7.6,7.36,8.09,42140,51510,1.5,4,BDL,1.843,23,790,49,1700
4022,BEACH,GOA,28,29,5.9,7,7.4,8.23,43910,58880,0.7,6,0.011,4.303,4.5,1100,23,2200
2080,CREEK,GUJARAT,27,34,5.2,6.45,7.3,8.36,681,8127,1.05,3.1,0.062,0.174,9,148,98,345
2081,CREEK,GUJARAT,29,33,0,3.3,7.3,8.05,1300,7900,4,44,0.061,1.491,39,130,270,470
3196,CREEK,GUJARAT,29,32,0,6.58,6.4,8.14,827,7600,1.34,96,0.139,1.044,70,260,270,1400
1316,CREEK,MAHARASHTRA,26,32,3.2,5.3,6.9,8.1,785,60260,7,18,1.2,5.6,7.8,920,120,1600
2184,CREEK,MAHARASHTRA,22,28,BDL,6.2,6.6,7.9,1771,49810,4,20,0.5,7.2,33,350,170,920
2185,CREEK,MAHARASHTRA,19,32,3.5,5.6,6.9,8.3,920,57060,6,18,1.4,6.9,6.8,280,79,920
2791,CREEK,MAHARASHTRA,27,32,1.2,7.2,6.7,8.1,95,15240,3,22,0.1,13.7,6.1,130,21,540
2792,CREEK,MAHARASHTRA,26,37,3.3,6.5,6.7,8,250,35020,4,18,1.8,10.8,17,220,120,920
2793,CREEK,MAHARASHTRA,25,35,2.9,5.5,6.7,7.9,316,34930,6,22,1.1,11.8,22,350,170,920
2794,CREEK,MAHARASHTRA,26,35,2.6,5.9,6.7,8,303,44080,5,18,0.8,7.6,22,540,140,920
2795,CREEK,MAHARASHTRA,26,35,2.8,5.9,6.8,8,521,44080,5,22,1.9,7.7,27,920,130,1600
