3242,GUJARAT,30,30,8,8,2310,2930,1.1,1.3,0,0,,,,
3243,GUJARAT,28,29,7,8.1,3080,3200,1.2,1.4,0,0,,,,
3244,GUJARAT,29,29,7,7.2,4200,4200,10,10,0.2,0.2,2,2,2,2
3246,GUJARAT,29,30,7,7.4,,,0.4,0.4,0,0.5,,,,
3247,GUJARAT,29,30,8,7.8,,,0.4,0.4,0.4,0.5,,,,
2759,JAMMU & KASHMIR,20,20,7,6.8,455,455,,,0.4,0.4,,,,
2760,JAMMU & KASHMIR,20,20,7,6.7,310,310,,,0.6,0.6,,,,
2761,JAMMU & KASHMIR,22,22,6,6.1,90,90,,,0.8,0.8,,,,
2762,JAMMU & KASHMIR,24,24,8,8.2,1600,1600,55,55,2.3,2.3,,,,
1555,HIMACHAL PRADESH,25,27,8,8,547,547,0.6,0.8,0.5,0.5,1,2,4,4
1556,"HIMACHAL
PRADESH",20,24,7,7.9,648,672,0.4,0.6,0.6,0.7,1,2,3,5
1557,"HIMACHAL
PRADESH",,,7,7.1,496,496,0.1,0.1,0.2,0.2,,,2,2
1558,HIMACHAL PRADESH,17,17,8,7.9,329,329,0.4,0.4,0,0,2,2,2,2
1559,"HIMACHAL
PRADESH",18,18,8,7.9,377,449,0.1,0.5,0,0,2,2,2,2
1560,"HIMACHAL
PRADESH",18,18,7,8.4,671,997,0.1,0.4,0,0,2,2,2,2
1561,HIMACHAL PRADESH,14,19,7,7.4,583,674,0.2,0.3,1,2,,,,
1562,"HIMACHAL
PRADESH",16,16,7,8.5,616,1116,0.4,0.4,0.6,2.2,,,,
1872,HIMACHAL PRADESH,8,20,7,8.1,416,674,2.4,16,0,0.3,2,28,10,168
1873,HIMACHAL PRADESH,17,17,7,7,347,424,0.6,0.6,0.3,0.9,,,,
1874,HIMACHAL PRADESH,12,18,7,8,192,780,0.1,2,0,0.3,2,12,2,48
1875,HIMACHAL PRADESH,26,26,6,6.4,3310,3310,560,560,0.2,0.2,1600,1600,1600,1600
1876,HIMACHAL PRADESH,,,9,8.9,1069,1069,0.2,0.2,0,0,,,,
1877,"HIMACHAL
PRADESH",19,19,8,7.9,284,504,0.1,0.5,0,0,,,,
1878,HIMACHAL PRADESH,18,18,7,7.9,470,537,0.1,0.4,0,0,,,,
1879,HIMACHAL PRADESH,19,19,7,7.8,718,1139,0.1,0.8,0,0,,,,
1880,"HIMACHAL
PRADESH",25,27,7,7.9,516,712,0.8,0.8,0.6,0.6,2,2,5,5
1881,HIMACHAL PRADESH,21,24,8,8.1,440,608,0.7,0.8,0.7,0.7,2,2,4,6
1882,HIMACHAL PRADESH,16,17,7,7.5,885,1011,0.3,0.5,0.8,3.2,,,,
