STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FAECAL_STREPTOCOCCI_Min,FAECAL_STREPTOCOCCI_Max
3159,BIHAR,24.0,24.0,,,7.3,7.3,2150,2150,,,0.24,0.24,39,39,1600,1600
3160,BIHAR,25.0,25.0,,,8.0,8.0,362,362,,,0.06,0.06,,,,
3162,BIHAR,26.0,26.0,,,7.4,7.4,861,861,,,0.06,0.06,,,,
2039,CHANDIGARH,22.0,24.0,,,7.4,7.4,759,1403,0.9,2.2,3.30,4.30,,,,
2040,CHANDIGARH,21.5,24.5,,,7.2,7.3,639,666,1.8,2.1,1.90,3.50,,,,
2041,CHANDIGARH,22.0,25.0,BDL,BDL,7.2,7.2,913,1009,BDL,1.1,4.30,8.90,2,2,2,2
2042,CHANDIGARH,22.0,24.5,BDL,BDL,7.1,7.2,732,751,BDL,2.0,3.50,4.30,2,2,2,2
2043,CHANDIGARH,22.0,24.0,BDL,BDL,7.4,7.4,1156,1187,1.4,1.8,1.00,1.00,2,2,2,2
2044,CHANDIGARH,22.0,24.0,BDL,BDL,7.2,7.4,635,788,BDL,0.9,2.30,3.90,2,2,2,2
2045,CHANDIGARH,21.5,24.0,BDL,BDL,7.3,7.4,842,865,1.3,1.6,0.50,4.20,2,2,2,2
1621,CHHATTISGARH,23.0,25.0,2.2,2.3,7.7,7.8,256,378,,,,,,,,
1622,CHHATTISGARH,29.0,34.0,0.1,0.2,7.5,7.6,364,448,0.0,0.0,0.15,0.30,,,2,2
1623,CHHATTISGARH,30.0,30.0,0.2,0.2,7.7,7.7,481,481,0.1,0.1,0.15,0.15,,,,
3171,CHHATTISGARH,22.0,28.0,6.2,7.4,7.4,7.5,,,0.8,0.9,,,2,3,2,8
3172,CHHATTISGARH,25.9,26.0,,,7.1,7.1,,,,,,,20,20,20,20
3173,CHHATTISGARH,25.9,26.2,,,7.1,7.1,,,,,,,20,20,20,20
3174,CHHATTISGARH,26.1,26.3,,,7.1,7.2,,,,,,,20,20,20,20
3477,DELHI,,,,,7.1,7.1,3390,3810,,,2.40,71.90,2,210,4,2400
3479,DELHI,,,,,6.9,7.0,1384,3060,,,23.22,362.01,18,26000,220,47000
3480,DELHI,,,,,7.1,7.1,1001,1040,,,11.30,11.30,2,2,2,2
3483,DELHI,,,,,6.9,7.2,1580,1820,,,4.81,4.90,2,230,2,2400
3485,DELHI,,,,,7.1,7.1,1410,2100,,,76.50,338.60,2,49,2,2
3488,DELHI,,,,,7.0,7.0,1750,2158,,,0.13,52.75,2,2,2,2
3489,DELHI,,,,,6.9,7.4,1440,2681,,,0.04,36.70,2,2,2,2
3490,DELHI,,,,,6.9,7.0,748,871,,,41.00,70.90,2,33,2,49
3492,DELHI,,,,,6.8,7.0,1980,2501,,,0.00,2.70,2,5,2,11
3493,DELHI,,,,,6.9,7.1,912,1649,,,0.04,29.13,2,2,2,2
3494,DELHI,,,,,7.4,7.6,810,825,,,9.52,12.50,2,2,2,5
3496,DELHI,,,,,7.0,7.0,939,1100,,,7.10,7.10,2,2,2,2
3498,DELHI,,,,,7.1,7.2,1010,1130,,,46.60,63.80,2,12,5,79
3500,DELHI,,,,,7.1,7.2,1420,1830,,,76.92,82.20,2,2,2,2
3503,DELHI,,,,,6.9,7.1,842,3270,,,19.30,19.30,2,2,2,240
3514,DELHI,,,,,6.8,6.8,4410,9690,,,0.01,229.04,2,7,2,33
3515,DELHI,,,,,6.5,6.5,1261,1261,,,,,18,18,270,270
3516,DELHI,,,,,7.1,7.3,1070,1766,,,0.04,3.92,2,2,2,13
3517,DELHI,,,,,7.1,7.7,294,2720,,,0.00,200.21,2,2,2,2
3518,DELHI,,,,,6.4,6.7,3670,14640,,,6.10,74.65,13,110,13,210
3520,DELHI,,,,,6.9,7.0,1140,1380,,,23.40,78.60,23,46,23,46
3523,DELHI,,,,,6.9,6.9,2830,3150,,,0.00,BDL,2,2,2,13
3524,DELHI,,,,,7.2,7.4,1230,8620,,,4.02,4.02,18,23,33,230
3525,DELHI,,,,,7.1,7.1,1442,1442,,,,,2,2,2,2
3526,DELHI,,,,,6.9,7.3,2470,7010,,,0.00,2.21,2,33,2,110
3527,DELHI,,,,,7.1,7.3,2162,3460,,,0.01,1.40,2,2,2,2
3528,DELHI,,,,,7.4,7.4,992,992,,,,,2,2,2,2
3529,DELHI,,,,,6.9,6.9,1406,1720,,,63.80,100.60,2,2,5,7
3530,DELHI,,,,,7.1,7.2,1327,1760,,,2.40,2.40,2,2,2,2
3531,DELHI,,,,,6.8,7.0,5690,6910,,,25.70,25.70,2,49,2,49
3532,DELHI,,,,,6.7,6.9,927,981,,,54.90,54.90,2,5,2,33
3533,DELHI,,,,,7.1,7.2,704,779,,,6.20,6.20,2,2,5,17
3534,DELHI,,,,,6.9,7.1,1470,1612,,,7.30,41.00,2,5,2,13
3535,DELHI,,,,,7.4,7.6,786,814,,,11.10,19.60,2,2,2,5
3536,DELHI,,,,,6.9,7.2,1180,1221,,,68.01,72.60,13,40,33,1700
3537,DELHI,,,,,7.1,7.1,1390,2659,,,0.00,24.20,2,17,2,17
3538,DELHI,,,,,7.2,7.4,1790,2140,,,14.40,70.50,240,350,240,920
3539,DELHI,,,,,7.4,7.4,870,1960,,,1.80,43.72,2,2,2,2
3540,DELHI,,,,,6.8,7.2,3760,5320,,,158.75,406.77,2,13000,5,49000
3541,DELHI,,,,,6.8,6.9,246,12250,,,21.69,30.90,2,2,2,2
3542,DELHI,,,,,6.8,7.1,1596,3400,,,58.80,58.80,2,2,4,33
3543,DELHI,,,,,7.1,7.5,1248,1660,,,0.00,3.30,2,2,2,2
3544,DELHI,,,,,7.1,7.3,964,5160,,,0.06,74.20,2,22,2,79
3545,DELHI,,,,,7.0,7.0,881,1342,,,5.30,19.50,2,2,5,8
3546,DELHI,,,,,6.9,6.9,760,1417,,,25.70,74.20,2,2,2,8
1440,"DAMAN AND DIU, DADRA
AND NAGAR HAVELI",29.0,32.0,5.3,6.4,7.5,7.8,578,834,BDL,BDL,4.10,7.70,2,2,2,2
2448,"DAMAN AND DIU, DADRA
AND NAGAR HAVELI",28.0,32.0,1.9,6.4,7.3,8.0,1010,1479,BDL,BDL,1.00,5.60,2,2,4,6
2449,"DAMAN AND DIU, DADRA
AND NAGAR HAVELI",29.0,33.0,1.1,2.9,7.3,8.1,866,1940,BDL,BDL,1.90,7.40,2,2,2,2
2450,"DAMAN AND DIU, DADRA
AND NAGAR HAVELI",28.0,32.0,1.3,3.9,7.2,7.9,528,763,BDL,BDL,2.00,3.30,2,2,2,2
2451,"DAMAN AND DIU, DADRA
AND NAGAR HAVELI",28.0,33.0,1.5,6.1,7.0,7.9,575,1050,BDL,BDL,2.80,3.60,2,2,2,2
2452,"DAMAN AND DIU, DADRA
AND NAGAR HAVELI",28.0,32.0,5.5,6.1,7.3,8.1,567,931,BDL,BDL,3.50,5.60,2,11,4,24
2453,"DAMAN AND DIU, DADRA
AND NAGAR HAVELI",29.0,32.0,3.1,5.8,6.4,6.9,388,838,BDL,BDL,2.40,5.90,2,7,2,10
2454,"DAMAN AND DIU, DADRA
AND NAGAR HAVELI",29.0,33.0,4.5,6.7,7.2,7.3,538,655,BDL,BDL,0.30,1.80,2,2,2,2
2455,"DAMAN AND DIU, DADRA
AND NAGAR HAVELI",28.0,32.0,2.2,4.3,7.0,7.1,1410,1775,BDL,BDL,1.10,2.70,2,2,2,4
2456,"DAMAN AND DIU, DADRA
AND NAGAR HAVELI",29.0,32.0,4.7,6.0,7.1,7.5,1860,3270,BDL,BDL,4.00,6.50,2,2,2,4
2457,"DAMAN AND DIU, DADRA
AND NAGAR HAVELI",28.0,33.0,2.7,5.2,7.0,7.5,489,1056,BDL,BDL,1.10,2.60,2,2,2,2
2458,"DAMAN AND DIU, DADRA
AND NAGAR HAVELI",28.0,33.0,2.1,5.7,6.9,7.5,3080,5010,BDL,BDL,1.40,3.50,2,2,2,2
2277,GOA,29.0,29.0,5.6,5.6,7.1,7.1,223,223,BDL,BDL,0.38,0.38,,,5,5
2278,GOA,29.0,29.0,6.4,6.4,7.1,7.1,68,68,BDL,BDL,0.78,0.78,,,2,2
2279,GOA,29.0,29.0,5.2,5.2,6.3,6.3,307,307,BDL,BDL,2.89,2.89,,,2,2
2280,GOA,,,6.5,6.5,6.5,6.5,238,238,BDL,BDL,0.10,0.10,,,8,8
2281,GOA,,,7.0,7.0,6.5,6.5,98,98,BDL,BDL,0.06,0.06,,,2,2
2282,GOA,29.0,29.0,5.2,5.2,7.3,7.3,245,245,BDL,BDL,BDL,BDL,,,2,2
3193,GOA,31.0,31.0,5.0,5.0,7.0,7.0,41,41,BDL,BDL,0.02,0.02,,,2,2
3194,GOA,29.0,29.0,5.7,5.7,6.5,6.5,120,120,BDL,BDL,0.83,0.83,,,2,2
3,GUJARAT,29.0,30.0,4.3,5.1,7.4,7.6,1329,1372,0.6,1.1,0.02,0.44,2,2,2,2
6,GUJARAT,28.0,29.0,1.7,2.1,7.2,7.9,1291,1511,0.4,0.4,0.40,0.46,2,2,2,2
1948,GUJARAT,29.0,29.0,2.4,2.8,8.0,8.1,1380,1410,1.2,1.4,0.10,0.23,2,2,2,2
1949,GUJARAT,28.0,29.0,2.1,2.4,7.9,8.0,1470,1470,1.2,1.8,0.22,0.29,2,2,2,6
1950,GUJARAT,23.0,23.0,,,7.6,7.6,1469,1469,0.8,0.8,1.44,1.44,2,2,2,2
1951,GUJARAT,26.0,26.0,3.7,3.7,7.5,7.5,1240,1240,0.9,0.9,0.91,0.91,,,,
1953,GUJARAT,28.0,30.0,,,7.3,7.7,910,1020,,,0.30,0.31,,,,
1954,GUJARAT,32.0,35.0,3.1,3.2,7.2,7.4,2680,4130,1.1,1.4,0.21,1.80,2,2,2,2
1955,GUJARAT,27.0,30.0,,,7.3,7.6,1332,1516,0.9,1.2,2.03,3.73,,,,
1956,GUJARAT,31.0,31.0,4.1,5.2,7.6,8.0,355,3118,0.8,1.2,0.12,0.19,2,2,2,2
