STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,,
1880,HIMACHAL PRADESH,22,22,7.5,7.7,710,944,0.1,0.1,0.5,0.6,2,2,4,4,,
1881,HIMACHAL PRADESH,23,23,7.7,7.8,460,975,0.1,0.1,0.6,0.7,2,2,4,4,,
1882,HIMACHAL PRADESH,14,14,7.2,7.7,475,938,0.2,0.5,0,0.1,,,3.6,3.6,,
1883,HIMACHAL PRADESH,14,18,7.5,7.5,919,932,0.2,0.2,0,0.2,,,3.7,3.7,,
2628,HIMACHAL PRADESH,11.5,19,6.9,7.5,372,785,,,0.3,4.6,,,,,,
2630,HIMACHAL PRADESH,,,7.4,7.8,821,1072,0.2,0.3,0.2,0.2,,,,,,
2631,HIMACHAL PRADESH,,,7,7.2,856,1080,0.2,0.3,0.1,0.1,,,,,,
2632,HIMACHAL PRADESH,17,22,7.4,7.8,925,1027,,,0.1,0.5,,,,,,
2633,HIMACHAL PRADESH,,,6.8,6.8,1032,1032,,,0.1,0.1,,,,,,
2634,HIMACHAL PRADESH,6,7,7.9,8.1,236,347,0.1,0.1,0,0,,,,,,
2636,HIMACHAL PRADESH,18,18,7.4,7.4,754,754,0.8,0.8,0.2,0.2,,,,,,
2637,HIMACHAL PRADESH,19,20,7.8,7.8,1285,1435,0.1,0.2,0,0.1,,,,,,
2638,HIMACHAL PRADESH,16,20,7.7,8,626,1290,0.1,0.2,0,0.1,,,,,,
2639,HIMACHAL PRADESH,20,20,7.2,7.7,141,183,0.1,0.2,0.1,0.3,,,3.7,3.7,,
2640,HIMACHAL PRADESH,17,19,7.5,7.9,376,425,0.1,0.1,0.1,0.1,,,,,,
2641,HIMACHAL PRADESH,16,18,7.4,7.4,708,924,0.1,0.3,0,0.2,,,3.6,3.6,,
2642,HIMACHAL PRADESH,15,16,7.1,8.3,192,453,0.1,0.2,0,0.1,,,,,,
2645,HIMACHAL PRADESH,25,25,7.9,8,720,1194,0.1,0.2,0.7,0.7,2,2,4,4,,
2646,HIMACHAL PRADESH,26,26,7.4,8,922,1320,0.1,0.6,0.6,0.8,3.6,3.6,6,6,,
2647,HIMACHAL PRADESH,14,20,7.5,7.5,775,910,0.1,0.1,0,0.1,,,3.7,3.7,,
2648,HIMACHAL PRADESH,18,18,7.9,7.9,447,447,,,0.1,0.1,,,,,,
2759,JAMMU & KASHMIR,16,16,7,7,450,450,,,0.4,0.4,,,,,,
2760,JAMMU & KASHMIR,16,16,6.7,6.7,306,306,,,0.6,0.6,,,,,,
2761,JAMMU & KASHMIR,17,17,7.2,7.2,88,88,,,0.8,0.8,,,,,,
2762,JAMMU & KASHMIR,19,19,8.1,8.1,1542,1542,50,50,2.2,2.2,,,,,,
3288,JAMMU & KASHMIR,16,16,7.4,7.4,680,680,1.5,1.5,0,0,,,,,,
3290,JAMMU & KASHMIR,15,15,7.4,7.4,1032,1032,1.3,1.3,0,0,,,,,,
3291,JAMMU & KASHMIR,15.4,15.4,7.4,7.4,1001,1001,1.2,1.2,0,0,,,,,,
3292,JAMMU & KASHMIR,16,16,7.5,7.5,505,505,1,1,0,0,,,,,,
19,KERALA,26.8,27.8,6,6.6,139,163,0.7,0.9,0.9,2.3,11,240,14,460,,
